salesperson,transaction_count,total_sales,average_sale_price,total_commission,average_commission_rate,first_sale_date,last_sale_date
Lauren Harris,3,94802.0,31600.67,10582.53,0.1043,2022-05-18,2023-01-21
Elizabeth Moore,3,94795.0,31598.33,9663.87,0.0992,2022-05-11,2023-01-03
Tammy Harris,3,94725.0,31575.0,7861.12,0.0802,2022-10-01,2023-02-23
Michael Mitchell,3,94690.0,31563.33,10803.29,0.1171,2023-03-16,2023-04-27
Jeffrey Williams,4,94644.0,23661.0,10317.37,0.1075,2022-05-08,2023-03-31
Angela Cruz,3,94614.0,31538.0,11319.5,0.1232,2022-05-13,2022-12-09
Robert Green,3,94613.0,31537.67,10348.93,0.1039,2022-05-05,2023-03-07
Matthew Cooper,3,94556.0,31518.67,9988.12,0.1058,2022-08-22,2023-04-13
Nathan Jones,3,94553.0,31517.67,6192.38,0.0655,2022-06-04,2022-10-24
Jennifer Perez,3,94550.0,31516.67,10260.98,0.114,2022-05-27,2023-04-11
Amanda Johnson,3,94538.0,31512.67,6987.19,0.075,2022-08-23,2023-02-22
Megan Campbell,3,94525.0,31508.33,9151.6,0.101,2022-05-23,2022-10-22
Lori Thompson,3,94440.0,31480.0,7986.35,0.0828,2022-11-04,2023-04-04
Michael Rivera,3,94422.0,31474.0,10053.43,0.095,2022-09-08,2023-03-21
Rebecca Anderson,2,94400.0,47200.0,10722.99,0.1144,2023-01-04,2023-04-28
John White,4,94378.0,23594.5,8375.46,0.0915,2022-05-13,2022-12-27
Denise Walton,2,94362.0,47181.0,7509.79,0.0795,2022-07-16,2022-10-13
Mark Joseph,2,94338.0,47169.0,11161.2,0.1183,2022-07-23,2023-03-03
Christopher Pena,2,94323.0,47161.5,8507.24,0.0909,2022-07-04,2022-09-08
Kelly Fisher,3,94171.0,31390.33,6513.55,0.071,2022-06-27,2023-03-22
Jessica Bailey,3,94168.0,31389.33,8446.8,0.091,2022-10-30,2023-02-05
Laura Torres,3,94117.0,31372.33,10726.27,0.1175,2022-12-23,2023-04-15
Christopher Strong,2,94099.0,47049.5,8585.87,0.0909,2022-05-20,2023-02-13
Dennis Jones,4,94095.0,23523.75,9059.91,0.1044,2022-06-29,2023-04-08
Matthew Murphy,2,94076.0,47038.0,8060.38,0.0866,2022-07-09,2022-07-31
Richard Roberts,2,94000.0,47000.0,10002.87,0.1056,2023-02-01,2023-03-08
Rebecca Gonzalez,3,93996.0,31332.0,7364.09,0.0747,2022-06-05,2023-01-08
Lauren Smith,3,93985.0,31328.33,11599.34,0.1179,2022-05-05,2022-08-19
Jennifer Kennedy,3,93960.0,31320.0,6793.84,0.0723,2022-11-09,2023-03-16
Kimberly Clark,3,93833.0,31277.67,10244.74,0.1102,2023-01-28,2023-02-26
Matthew Lawrence,2,93819.0,46909.5,10142.71,0.1081,2022-05-17,2022-12-08
Daniel Hughes,3,93807.0,31269.0,9972.22,0.1055,2022-11-03,2022-12-16
Kelly Ingram,2,93790.0,46895.0,7542.27,0.0812,2022-07-21,2023-03-23
Sarah Moore,3,93779.0,31259.67,8234.84,0.0921,2022-08-18,2022-09-23
Thomas Perry,2,93770.0,46885.0,7588.15,0.0806,2023-02-09,2023-04-19
David Johnston,2,93690.0,46845.0,7161.87,0.077,2022-12-03,2023-02-11
Shane Jones,2,93660.0,46830.0,9463.9,0.0997,2022-05-31,2022-06-05
Mark Lopez,3,93659.0,31219.67,9147.21,0.0994,2022-11-04,2023-03-15
Steven Rodriguez,3,93616.0,31205.33,9309.38,0.1055,2022-05-26,2023-04-10
Cindy Villa,2,93520.0,46760.0,10802.75,0.1166,2022-09-22,2022-10-10
Brian Lewis,2,93511.0,46755.5,4958.61,0.0531,2022-09-11,2023-03-03
Jennifer Brewer,3,93485.0,31161.67,7417.47,0.082,2022-11-13,2023-01-29
Jennifer Gross,3,93475.0,31158.33,6486.61,0.0684,2022-07-26,2022-09-05
Laura Roman,2,93473.0,46736.5,5875.36,0.0635,2022-10-25,2022-11-18
Michael Fernandez,3,93462.0,31154.0,11701.25,0.1201,2022-06-16,2022-11-10
Lauren Murphy,3,93440.0,31146.67,11786.07,0.128,2022-10-07,2023-03-06
Jessica Moreno,3,93436.0,31145.33,8744.62,0.0999,2022-05-01,2023-01-18
Christina Johnson,5,93414.0,18682.8,10012.56,0.1093,2022-05-09,2023-01-07
Brandon Hughes,2,93409.0,46704.5,10402.68,0.1092,2022-08-03,2022-08-05
Jessica Dunn,2,93404.0,46702.0,7543.0,0.0812,2023-01-08,2023-04-23
Sarah Young,3,93402.0,31134.0,10067.76,0.1041,2022-07-24,2022-12-26
Joseph Martin,2,93393.0,46696.5,9435.55,0.0995,2022-06-17,2022-12-15
Thomas Graham,3,93389.0,31129.67,13079.54,0.1391,2022-06-17,2023-04-30
Jessica Clark,3,93386.0,31128.67,7613.62,0.0845,2022-10-19,2022-11-10
Yolanda Thompson,2,93366.0,46683.0,10887.26,0.1157,2022-08-16,2023-04-28
Angela King,3,93352.0,31117.33,11367.14,0.1304,2022-06-21,2022-12-18
Lisa Woods,2,93311.0,46655.5,6943.94,0.0754,2022-10-23,2022-11-13
Debbie Campbell,2,93280.0,46640.0,9114.82,0.0978,2022-09-26,2022-12-25
Charles Evans,2,93164.0,46582.0,5992.87,0.0647,2022-08-10,2023-02-16
Jessica Perez,3,93155.0,31051.67,6444.07,0.0729,2022-08-15,2023-03-24
Edward Jones,4,93140.0,23285.0,8476.72,0.0932,2022-06-15,2023-03-14
Thomas Meyers,2,93091.0,46545.5,6197.6,0.0661,2022-06-06,2022-12-10
Michelle Perez,3,93088.0,31029.33,8948.32,0.0974,2022-10-17,2022-12-06
Amy Garcia,3,93080.0,31026.67,13425.11,0.1428,2022-06-28,2023-02-02
Tina Garcia,3,93027.0,31009.0,9855.84,0.1052,2022-05-28,2023-02-08
James Simpson,2,93003.0,46501.5,11637.24,0.125,2022-07-01,2023-01-14
Richard Diaz,2,92978.0,46489.0,10102.12,0.1081,2022-11-13,2023-02-22
Kathleen Smith,3,92969.0,30989.67,8709.76,0.0953,2022-05-29,2023-04-30
Cynthia Allen,4,92961.0,23240.25,7245.16,0.0801,2022-05-24,2023-04-05
Debra Williams,3,92937.0,30979.0,8691.05,0.1,2022-07-07,2023-04-17
Melissa Price,3,92915.0,30971.67,12208.32,0.1334,2022-05-13,2023-02-01
Angela Fernandez,3,92913.0,30971.0,8825.01,0.1023,2022-05-17,2022-08-18
John Robinson,3,92909.0,30969.67,10592.78,0.1177,2022-05-05,2022-08-03
Kelly Jones,2,92817.0,46408.5,10772.23,0.1146,2022-09-12,2023-02-06
April Wright,2,92802.0,46401.0,8770.22,0.0957,2023-01-22,2023-03-30
John Wise,2,92798.0,46399.0,8178.81,0.0884,2022-06-17,2022-08-10
Michael Moreno,2,92793.0,46396.5,8860.74,0.0944,2022-12-17,2022-12-19
Christopher Warren,2,92771.0,46385.5,8101.54,0.0891,2022-11-25,2023-03-02
James Allen,3,92769.0,30923.0,9443.19,0.1106,2022-07-26,2023-02-17
Jordan Henry,3,92760.0,30920.0,10030.77,0.1033,2023-03-02,2023-04-18
Michael Graham,3,92738.0,30912.67,10966.08,0.1108,2022-08-08,2022-10-19
Vanessa Wilson,3,92732.0,30910.67,9136.35,0.0993,2022-08-03,2022-11-07
Rachel Clark,3,92724.0,30908.0,12952.49,0.1393,2022-05-18,2023-01-30
Michael Terry,2,92723.0,46361.5,5844.64,0.0637,2022-07-04,2023-03-10
Kimberly Wilson,3,92658.0,30886.0,11936.31,0.1252,2022-11-02,2023-04-26
Kyle Allen,2,92640.0,46320.0,13218.46,0.1427,2022-07-13,2022-10-08
Emily Moore,3,92574.0,30858.0,9006.44,0.0904,2022-06-15,2023-03-04
Jeffrey Cook,3,92567.0,30855.67,8920.5,0.095,2022-10-08,2023-04-19
Amy Gilbert,2,92556.0,46278.0,7212.86,0.0784,2023-02-18,2023-02-18
Elizabeth Jones,3,92545.0,30848.33,9297.92,0.1066,2022-08-28,2023-02-16
Tina Aguilar,2,92542.0,46271.0,9711.27,0.1042,2022-07-31,2023-03-08
Todd Dunn,2,92534.0,46267.0,6972.58,0.0752,2022-05-06,2023-02-23
Robert Gonzalez,3,92506.0,30835.33,7680.05,0.0752,2022-06-23,2023-03-12
David Burnett,2,92467.0,46233.5,10644.58,0.1156,2022-05-10,2023-01-01
Edward Garcia,3,92466.0,30822.0,9766.89,0.1063,2022-06-14,2023-04-06
Robert King,2,92436.0,46218.0,13340.74,0.1444,2022-07-29,2023-03-17
John Morgan,3,92421.0,30807.0,9794.39,0.1119,2022-11-16,2023-03-28
Laura Brown,3,92415.0,30805.0,8279.41,0.0905,2022-06-07,2023-03-26
Brandon Dominguez,2,92411.0,46205.5,11708.83,0.1253,2022-08-15,2022-10-27
Paul Jones,3,92393.0,30797.67,9865.99,0.1039,2022-06-25,2022-10-03
Joshua Jones,3,92312.0,30770.67,6772.3,0.0718,2022-08-11,2023-04-13
Ashley Lee,2,92312.0,46156.0,9295.46,0.0998,2022-07-13,2022-07-29
Hannah Harris,2,92310.0,46155.0,7963.23,0.086,2022-05-31,2022-08-29
Timothy Wyatt,2,92182.0,46091.0,11031.83,0.1202,2023-01-03,2023-03-08
Lisa Alvarado,2,92180.0,46090.0,8781.12,0.0948,2022-12-29,2023-04-14
Kelly Mendoza,2,92156.0,46078.0,7959.95,0.0861,2022-05-15,2022-08-15
Jesse Hamilton,2,92133.0,46066.5,9259.68,0.0998,2022-06-16,2023-02-27
Mary Harris,3,92123.0,30707.67,9328.28,0.1026,2022-06-01,2022-10-24
Brian Evans,3,92114.0,30704.67,9299.96,0.1058,2022-05-21,2022-09-16
Thomas Garcia,4,92063.0,23015.75,7831.21,0.0929,2022-09-06,2023-03-14
Michael Murphy,3,92043.0,30681.0,7897.57,0.0935,2022-10-23,2023-04-02
Kevin Cox,2,92018.0,46009.0,5878.34,0.0648,2022-10-26,2023-02-03
Shawn Martin,3,91999.0,30666.33,10235.31,0.1039,2022-10-30,2023-02-16
Christine Smith,3,91984.0,30661.33,9001.9,0.0953,2022-06-03,2022-11-19
Melanie Brown,3,91962.0,30654.0,8162.21,0.0902,2022-09-05,2023-03-09
William Thomas,3,91926.0,30642.0,10912.87,0.1093,2022-05-25,2023-04-19
Joshua Wallace,2,91916.0,45958.0,9032.85,0.0985,2022-07-09,2022-07-30
Jennifer Morales,3,91898.0,30632.67,11652.55,0.1234,2022-09-13,2023-03-23
Eric Long,2,91876.0,45938.0,12067.59,0.1298,2022-12-18,2023-04-13
John Robles,2,91867.0,45933.5,11875.2,0.1294,2022-10-30,2023-04-07
Elizabeth Wells,3,91850.0,30616.67,10265.72,0.1153,2022-05-09,2022-10-15
James Bishop,3,91842.0,30614.0,10620.68,0.1189,2022-06-02,2022-11-26
Janet Jordan,2,91789.0,45894.5,9955.43,0.1084,2022-09-26,2023-04-21
Ian Smith,3,91787.0,30595.67,11066.35,0.122,2022-05-01,2022-12-31
Tracy Henry,2,91774.0,45887.0,9432.46,0.1027,2022-07-21,2022-12-17
Taylor Edwards,3,91676.0,30558.67,11894.07,0.1196,2022-09-02,2023-03-10
Rachel Wolfe,2,91643.0,45821.5,7212.0,0.0782,2022-07-07,2022-09-01
William Martinez,3,91584.0,30528.0,8570.59,0.0937,2022-07-06,2022-09-17
Melinda Kim,2,91577.0,45788.5,9516.66,0.1008,2022-07-25,2022-12-26
Jennifer Nguyen,2,91543.0,45771.5,7352.15,0.0795,2022-09-13,2023-03-16
Andrew Nelson,2,91521.0,45760.5,9062.68,0.0985,2022-09-24,2023-02-24
Donna Kemp,2,91513.0,45756.5,5509.82,0.06,2023-01-11,2023-03-25
Angela Long,2,91478.0,45739.0,7806.57,0.0865,2023-03-29,2023-04-08
Lisa Cole,2,91424.0,45712.0,10806.66,0.1171,2022-09-22,2023-02-11
Kimberly Harris,2,91382.0,45691.0,8403.67,0.0911,2023-02-21,2023-03-25
Christina Allen,3,91362.0,30454.0,8981.05,0.0969,2022-06-19,2023-04-12
Steven Douglas,3,91344.0,30448.0,5792.77,0.0655,2022-06-18,2023-02-07
Jordan Thompson,3,91330.0,30443.33,10166.56,0.112,2022-07-31,2023-03-22
Kelly Duran,2,91290.0,45645.0,7014.0,0.078,2022-09-20,2022-11-08
William Anderson,3,91243.0,30414.33,9459.84,0.1135,2022-05-21,2022-09-01
David Edwards,3,91233.0,30411.0,9562.09,0.1045,2022-05-27,2023-03-19
Danielle Sanders,2,91224.0,45612.0,9901.71,0.1085,2022-10-11,2022-12-21
Rachel Smith,5,91188.0,18237.6,8382.1,0.0883,2022-05-25,2023-01-26
Michael Rubio,3,91167.0,30389.0,9131.11,0.1036,2022-07-12,2023-03-20
John Cox,2,91150.0,45575.0,7278.44,0.0811,2022-11-20,2023-02-08
Jesus Smith,2,91144.0,45572.0,8602.12,0.0963,2023-03-02,2023-04-05
Rebecca Miller,2,91098.0,45549.0,11006.84,0.1213,2022-11-01,2022-12-15
Kevin James,2,91089.0,45544.5,9527.91,0.1048,2022-12-03,2022-12-04
Lisa Baldwin,2,91015.0,45507.5,8491.55,0.0917,2022-07-27,2023-04-11
William Campbell,3,91007.0,30335.67,8807.86,0.0936,2022-07-10,2023-03-03
Timothy Lee,2,91001.0,45500.5,9105.0,0.0983,2023-03-14,2023-03-27
Danielle Lee,3,90999.0,30333.0,8761.67,0.0891,2022-05-14,2023-03-04
Michael King,3,90990.0,30330.0,12064.31,0.1328,2022-05-09,2023-02-18
Ashley Allen,4,90986.0,22746.5,7687.03,0.0764,2022-07-16,2023-03-01
Michael Gardner,3,90977.0,30325.67,7995.99,0.0823,2022-07-29,2022-12-16
Amanda Martin,3,90972.0,30324.0,11064.26,0.1161,2022-05-26,2022-09-14
Dawn Gonzalez,3,90971.0,30323.67,9890.99,0.1085,2022-11-15,2023-04-26
Daniel Jones,3,90955.0,30318.33,8022.23,0.0908,2022-09-01,2023-03-30
Chelsea Ward,2,90948.0,45474.0,8835.76,0.0974,2022-11-19,2023-01-11
Michael Hoffman,2,90924.0,45462.0,11810.79,0.1282,2022-08-16,2023-03-01
Maria Williams,2,90917.0,45458.5,10681.26,0.118,2022-11-29,2023-02-02
Michelle Hunter,3,90901.0,30300.33,6716.67,0.0734,2022-07-31,2023-04-21
Julia Wyatt,2,90888.0,45444.0,10874.33,0.1182,2022-05-16,2023-04-05
Angela Shields,2,90863.0,45431.5,9851.71,0.1083,2022-11-12,2022-12-30
Sara Allen,2,90855.0,45427.5,7965.66,0.0879,2022-06-22,2022-12-11
Timothy Allen,2,90838.0,45419.0,9948.67,0.1087,2022-09-29,2023-04-24
Jason Horn,2,90776.0,45388.0,8323.66,0.0911,2022-09-15,2022-12-02
Shannon Lee,2,90715.0,45357.5,7817.1,0.0861,2022-09-04,2023-04-10
Christopher Navarro,2,90714.0,45357.0,7594.56,0.0857,2022-08-28,2022-11-07
James Wilson,3,90710.0,30236.67,7698.73,0.0864,2022-08-04,2023-04-02
Christopher Allen,3,90702.0,30234.0,9872.4,0.1072,2022-08-07,2022-09-12
Tracy Baker,2,90697.0,45348.5,9486.67,0.1053,2022-08-10,2023-04-06
John Hicks,2,90689.0,45344.5,8864.62,0.0993,2022-08-17,2023-02-15
Rachel Ross,2,90676.0,45338.0,9121.8,0.1003,2023-01-05,2023-03-08
Christine Long,2,90672.0,45336.0,6417.39,0.0722,2022-05-04,2022-06-12
Steven Miller,3,90661.0,30220.33,8304.01,0.0937,2022-07-20,2023-04-30
Victoria Rodriguez,2,90657.0,45328.5,8623.25,0.0932,2023-02-10,2023-03-27
Nicole Thompson,3,90647.0,30215.67,9889.25,0.1176,2023-02-16,2023-03-06
Edward Spencer,2,90642.0,45321.0,8147.51,0.0898,2022-11-11,2023-02-06
Jeremy Thompson,2,90630.0,45315.0,7721.48,0.0855,2022-07-14,2022-09-01
Brandi Garcia,3,90619.0,30206.33,7772.28,0.0905,2022-11-17,2023-03-05
Stephanie Clark,3,90595.0,30198.33,8684.75,0.0958,2022-07-11,2023-04-07
Emily Hernandez,4,90549.0,22637.25,9351.22,0.112,2022-05-23,2023-04-07
Michael Howard,2,90540.0,45270.0,7949.93,0.0865,2022-06-18,2023-01-29
John Horton,3,90532.0,30177.33,7739.69,0.0878,2022-08-04,2022-10-07
Mark Miller,3,90515.0,30171.67,8601.84,0.1019,2022-05-23,2022-12-19
James Lee,4,90494.0,22623.5,7776.65,0.0874,2022-10-18,2023-03-03
Kimberly Carroll,3,90489.0,30163.0,10226.21,0.1147,2022-05-25,2022-10-14
Brett Moore,2,90469.0,45234.5,7270.69,0.081,2022-10-05,2022-10-29
Margaret Vargas,2,90452.0,45226.0,10463.23,0.1161,2022-07-12,2023-04-02
Kristen Smith,3,90412.0,30137.33,8608.12,0.0953,2022-12-07,2023-03-17
Tammy Hunter,2,90380.0,45190.0,11764.28,0.1302,2022-06-24,2023-02-19
Dennis Williams,2,90324.0,45162.0,11642.02,0.1305,2022-07-03,2022-12-26
Amy White,3,90322.0,30107.33,10632.4,0.1227,2022-07-20,2023-03-08
Lisa Thomas,4,90315.0,22578.75,8927.66,0.0953,2022-10-14,2023-04-16
Andrew Adams,2,90282.0,45141.0,9503.17,0.1053,2022-05-08,2022-08-02
Chad Rogers,2,90263.0,45131.5,9471.07,0.1056,2023-03-16,2023-03-31
Stephen Phillips,2,90259.0,45129.5,10112.33,0.1123,2022-08-25,2022-09-17
James Davis,4,90162.0,22540.5,11013.41,0.1198,2022-08-29,2023-01-20
Jose Molina,2,90143.0,45071.5,10509.33,0.117,2022-10-22,2023-02-24
Katelyn Davis,3,90109.0,30036.33,12168.0,0.1358,2022-11-09,2023-02-18
Brandon Thomas,3,90077.0,30025.67,12495.08,0.1395,2022-07-30,2022-11-26
Nicholas Davis,2,90075.0,45037.5,5227.89,0.0582,2022-07-07,2023-01-25
Denise Davis,3,90071.0,30023.67,8301.43,0.0859,2022-10-25,2023-01-14
Rachel Jones,3,90045.0,30015.0,8167.44,0.0889,2022-06-30,2023-02-12
Carla Carter,2,89983.0,44991.5,8439.62,0.0956,2022-09-24,2023-02-02
Rhonda Martinez,3,89975.0,29991.67,9335.39,0.0969,2022-06-08,2022-07-23
Matthew Roberts,3,89952.0,29984.0,9914.87,0.105,2022-05-25,2023-04-30
Andrew Cummings,3,89925.0,29975.0,7371.24,0.0849,2022-05-04,2023-01-04
Tammy Miller,4,89919.0,22479.75,8916.55,0.1052,2022-08-09,2022-10-26
Mary Steele,2,89884.0,44942.0,9412.82,0.1089,2023-01-14,2023-01-17
Eugene Jackson,2,89862.0,44931.0,9565.82,0.1058,2022-05-25,2022-08-31
Michael Melendez,3,89847.0,29949.0,10893.55,0.1113,2022-07-25,2023-04-11
Samantha Grant,2,89822.0,44911.0,6284.81,0.07,2022-07-05,2023-02-24
Deborah Brown,3,89815.0,29938.33,9477.02,0.1056,2022-12-11,2023-03-15
Andrew Lee,3,89781.0,29927.0,10181.03,0.1135,2022-05-28,2022-12-14
Kenneth Buckley,2,89765.0,44882.5,11115.74,0.1236,2022-05-23,2022-10-19
Christopher Colon,2,89764.0,44882.0,9047.24,0.0998,2022-09-05,2023-01-20
Brandy Garcia,2,89755.0,44877.5,9862.65,0.1099,2022-10-02,2022-10-06
Stephen Evans,2,89750.0,44875.0,12161.58,0.1362,2022-07-20,2022-12-24
Daniel Boyd,2,89737.0,44868.5,10216.82,0.1147,2023-02-04,2023-02-21
Mary Stevens,2,89725.0,44862.5,7845.0,0.0876,2022-05-25,2022-05-29
Jeremy Taylor,2,89714.0,44857.0,5459.42,0.0612,2022-09-22,2022-12-30
Christina Mills,2,89693.0,44846.5,5011.33,0.0558,2022-09-12,2022-09-17
Carolyn Brown,2,89685.0,44842.5,9293.77,0.1035,2022-06-17,2022-07-05
Jeremy Hernandez,4,89649.0,22412.25,7406.45,0.0973,2022-05-05,2022-11-07
Todd Moore,3,89640.0,29880.0,9987.52,0.1093,2022-06-01,2022-12-18
Allison Lee,2,89552.0,44776.0,7942.84,0.0901,2022-07-02,2023-03-29
Elizabeth Gonzales,3,89543.0,29847.67,9520.32,0.101,2022-05-23,2023-03-03
John Simpson,3,89543.0,29847.67,8781.27,0.097,2022-06-02,2023-04-15
Zachary Watson,3,89526.0,29842.0,8304.8,0.095,2022-08-02,2023-01-29
Brittany Roberts,2,89474.0,44737.0,11216.03,0.1254,2022-06-09,2023-03-25
Andrew Parker,3,89431.0,29810.33,7413.08,0.0822,2022-08-21,2023-03-21
David Diaz,3,89429.0,29809.67,6809.14,0.0692,2022-06-08,2023-01-13
Amanda Cole,3,89416.0,29805.33,7855.18,0.0843,2022-08-17,2023-03-16
Denise Turner,2,89409.0,44704.5,8553.45,0.0923,2022-07-11,2022-10-11
Jessica Jackson,3,89381.0,29793.67,6604.0,0.0745,2022-08-14,2023-02-08
Christopher Collins,3,89365.0,29788.33,9571.4,0.0993,2022-07-22,2023-02-12
Alicia Schmidt,2,89354.0,44677.0,8119.78,0.0925,2023-02-24,2023-04-19
Tammy Nguyen,2,89352.0,44676.0,9834.85,0.1101,2022-12-01,2023-02-27
Ronald Fischer,2,89302.0,44651.0,11807.48,0.1323,2022-07-12,2022-09-15
John Morris,4,89295.0,22323.75,9762.65,0.1081,2022-07-15,2022-11-27
Jamie Johnson,4,89286.0,22321.5,9919.97,0.1071,2022-07-04,2022-10-21
Dawn Martin,3,89270.0,29756.67,8908.02,0.108,2022-06-16,2023-02-06
William Sweeney,2,89214.0,44607.0,6294.99,0.0717,2022-07-23,2022-12-14
Jessica Stein,2,89191.0,44595.5,6423.48,0.0706,2022-05-10,2022-08-08
Samuel Ramirez,2,89128.0,44564.0,7779.09,0.0872,2022-10-07,2023-02-19
Leslie Jones,3,89124.0,29708.0,7419.64,0.0865,2023-01-10,2023-04-22
Carlos Allen,2,89114.0,44557.0,9401.36,0.1055,2022-06-12,2022-12-09
Christopher Morales,2,89109.0,44554.5,10087.86,0.1137,2022-09-29,2023-01-09
William Chaney,2,89106.0,44553.0,6459.41,0.0742,2023-02-15,2023-04-03
Danielle Martin,3,89100.0,29700.0,11015.21,0.1182,2022-06-23,2023-03-10
Joshua Gray,2,89078.0,44539.0,7444.68,0.0843,2022-05-28,2023-03-10
Darrell Gonzalez,3,89073.0,29691.0,9457.21,0.1018,2022-05-23,2023-03-27
Richard Young,3,89052.0,29684.0,9741.83,0.1006,2022-06-04,2023-04-19
Michael Frank,3,89029.0,29676.33,12369.34,0.1387,2023-03-13,2023-04-08
David Reyes,3,89021.0,29673.67,10712.7,0.1261,2022-08-31,2022-11-05
Lisa Larson,2,89008.0,44504.0,8655.47,0.1016,2022-05-12,2022-07-25
Keith Garcia,2,88990.0,44495.0,6954.22,0.0802,2022-09-26,2023-03-13
Holly Myers,2,88911.0,44455.5,10389.66,0.1164,2022-05-29,2022-06-08
Edward Davis,3,88899.0,29633.0,8345.47,0.0946,2022-05-23,2023-03-15
Matthew Roberson,2,88899.0,44449.5,7381.31,0.0837,2023-03-16,2023-04-11
Brandi Taylor,2,88858.0,44429.0,10817.79,0.1221,2023-02-21,2023-03-11
Zachary Schroeder,2,88838.0,44419.0,12651.36,0.1425,2022-05-26,2023-01-28
Samantha Perez,4,88824.0,22206.0,10388.99,0.101,2022-07-18,2023-04-09
Cody Ford,3,88822.0,29607.33,12128.62,0.1347,2022-06-13,2023-04-21
Tammy Perez,2,88814.0,44407.0,11175.64,0.1254,2022-09-28,2023-02-06
Ryan Perez,2,88787.0,44393.5,7499.4,0.0844,2022-05-01,2022-05-09
Erin Brown,2,88750.0,44375.0,10162.69,0.1149,2022-12-17,2023-02-10
Rachel Reed,2,88728.0,44364.0,5775.04,0.0658,2022-08-13,2022-11-24
Jessica Lawson,2,88725.0,44362.5,10104.02,0.1139,2022-10-05,2023-01-19
David Ross,4,88693.0,22173.25,10290.51,0.1088,2022-05-03,2022-12-07
Jessica Perry,3,88688.0,29562.67,10317.93,0.1021,2022-06-22,2023-02-11
Kimberly Harrison,4,88683.0,22170.75,8293.72,0.0911,2022-09-17,2023-03-26
Theresa Powell,2,88669.0,44334.5,8329.39,0.0909,2022-08-02,2023-03-08
Amy Robertson,2,88547.0,44273.5,7426.61,0.0828,2022-05-26,2022-06-12
David Wiley,2,88509.0,44254.5,6333.11,0.0714,2022-05-20,2022-08-25
Joshua Hunt,2,88503.0,44251.5,9616.32,0.1063,2022-08-17,2023-01-18
Jessica Barnes,2,88430.0,44215.0,8502.29,0.0966,2022-05-08,2023-03-03
Lisa Carter,2,88398.0,44199.0,9561.72,0.1092,2022-08-07,2022-12-27
Sandra Taylor,2,88388.0,44194.0,10486.16,0.1212,2023-01-09,2023-03-22
Brandon Perry,2,88377.0,44188.5,7688.5,0.0849,2022-07-01,2022-08-18
David Rhodes,3,88363.0,29454.33,9972.87,0.1066,2022-06-10,2022-09-29
Justin Campbell,3,88355.0,29451.67,11274.01,0.1289,2022-08-02,2022-12-29
Tiffany Morgan,2,88311.0,44155.5,8795.06,0.0992,2022-05-30,2023-04-16
William Alvarez,2,88311.0,44155.5,10879.7,0.1236,2022-05-11,2023-03-07
Travis Johnson,2,88296.0,44148.0,11914.31,0.1358,2022-05-13,2022-06-25
Anthony Jackson,3,88271.0,29423.67,11678.24,0.1232,2022-05-07,2022-12-07
Andrew Lopez,2,88257.0,44128.5,11942.42,0.1367,2022-07-18,2022-08-29
Lisa Thompson,3,88254.0,29418.0,7808.21,0.0797,2022-11-16,2023-02-10
Matthew Hicks,2,88227.0,44113.5,6570.47,0.0751,2022-10-30,2023-01-28
Sandra Reed,3,88224.0,29408.0,8203.47,0.0914,2022-07-17,2022-11-09
Nancy Martin,2,88198.0,44099.0,8118.57,0.0962,2022-05-06,2022-11-15
Matthew Martinez,3,88176.0,29392.0,10383.58,0.119,2022-07-26,2022-12-29
Jason Garcia,2,88163.0,44081.5,8907.88,0.1006,2022-08-20,2023-03-01
Kyle Miller,3,88151.0,29383.67,7339.46,0.0754,2022-08-02,2023-04-16
Travis Martinez,3,88128.0,29376.0,10439.29,0.1202,2022-06-04,2023-03-28
Lisa Rodriguez,2,88126.0,44063.0,8473.16,0.0961,2022-06-01,2023-01-10
Danielle Parker,2,88123.0,44061.5,10080.39,0.1139,2022-12-31,2023-01-01
Kevin Stewart,2,88118.0,44059.0,5874.1,0.067,2022-08-02,2022-12-29
Kenneth Gross,2,88099.0,44049.5,7503.8,0.0849,2022-07-14,2023-04-21
Christopher Terry,3,88072.0,29357.33,6324.68,0.0717,2022-05-02,2022-12-06
Joseph Gross,2,88063.0,44031.5,12024.87,0.1376,2022-06-19,2022-11-07
Latoya Clark,2,88050.0,44025.0,8373.03,0.0949,2022-05-11,2022-08-10
Melanie Miller,3,88041.0,29347.0,8973.47,0.0994,2022-11-28,2023-04-25
Eric Martin,2,88024.0,44012.0,8465.73,0.0931,2022-05-08,2022-05-29
Amanda Howard,3,88005.0,29335.0,6209.91,0.0855,2022-08-12,2022-09-27
John Rios,2,87986.0,43993.0,7051.13,0.0799,2022-07-07,2023-01-07
Jennifer Collins,2,87986.0,43993.0,6582.89,0.0749,2022-12-14,2023-03-04
Kelly Stewart,2,87929.0,43964.5,5934.9,0.0677,2022-06-22,2022-08-12
Patricia Grimes,2,87916.0,43958.0,8959.08,0.1045,2022-08-21,2023-03-13
Richard Flores,2,87907.0,43953.5,8379.66,0.0957,2022-10-12,2022-11-13
Alyssa Hall,2,87816.0,43908.0,8427.89,0.0964,2022-07-17,2022-10-06
Matthew Diaz,2,87798.0,43899.0,6819.91,0.0803,2022-10-04,2023-04-09
Ryan Smith,4,87768.0,21942.0,11478.8,0.1198,2022-07-31,2023-03-13
Christopher Wang,2,87759.0,43879.5,10644.89,0.121,2023-02-28,2023-04-05
Joseph Perez,3,87687.0,29229.0,10048.38,0.1186,2022-11-03,2023-04-20
